year,month,attacks
1972,Jan,0
1972,Feb,0
1972,Mar,1
1972,Apr,0
1972,May,1
1972,Jun,1
1972,Jul,1
1972,Aug,2
1972,Sep,1
1972,Oct,2
1972,Nov,0
1972,Dec,0
1973,Jan,1
1973,Feb,0
1973,Mar,0
1973,Apr,0
1973,May,0
1973,Jun,0
1973,Jul,0
1973,Aug,1
1973,Sep,0
1973,Oct,0
1973,Nov,1
1973,Dec,1
1974,Jan,0
1974,Feb,0
1974,Mar,0
1974,Apr,1
1974,May,1
1974,Jun,1
1974,Jul,3
1974,Aug,1
1974,Sep,5
1974,Oct,0
1974,Nov,1
1974,Dec,0
1975,Jan,0
1975,Feb,0
1975,Mar,1
1975,Apr,0
1975,May,2
1975,Jun,4
1975,Jul,6
1975,Aug,2
1975,Sep,0
1975,Oct,2
1975,Nov,1
1975,Dec,1
1976,Jan,1
1976,Feb,0
1976,Mar,1
1976,Apr,1
1976,May,0
1976,Jun,2
1976,Jul,4
1976,Aug,2
1976,Sep,3
1976,Oct,1
1976,Nov,1
1976,Dec,1
1977,Jan,0
1977,Feb,0
1977,Mar,0
1977,Apr,1
1977,May,0
1977,Jun,2
1977,Jul,1
1977,Aug,2
1977,Sep,0
1977,Oct,0
1977,Nov,0
1977,Dec,2
1978,Jan,0
1978,Feb,0
1978,Mar,0
1978,Apr,0
1978,May,0
1978,Jun,2
1978,Jul,2
1978,Aug,1
1978,Sep,0
1978,Oct,0
1978,Nov,2
1978,Dec,0
1979,Jan,0
1979,Feb,0
1979,Mar,2
1979,Apr,2
1979,May,1
1979,Jun,1
1979,Jul,0
1979,Aug,1
1979,Sep,0
1979,Oct,0
1979,Nov,1
1979,Dec,0
1980,Jan,0
1980,Feb,0
1980,Mar,0
1980,Apr,0
1980,May,0
1980,Jun,1
1980,Jul,4
1980,Aug,2
1980,Sep,0
1980,Oct,2
1980,Nov,0
1980,Dec,0
1981,Jan,1
1981,Feb,1
1981,Mar,2
1981,Apr,0
1981,May,3
1981,Jun,1
1981,Jul,2
1981,Aug,5
1981,Sep,5
1981,Oct,4
1981,Nov,1
1981,Dec,2
1982,Jan,0
1982,Feb,6
1982,Mar,1
1982,Apr,0
1982,May,1
1982,Jun,3
1982,Jul,4
1982,Aug,1
1982,Sep,4
1982,Oct,1
1982,Nov,1
1982,Dec,0
1983,Jan,1
1983,Feb,0
1983,Mar,1
1983,Apr,2
1983,May,3
1983,Jun,2
1983,Jul,2
1983,Aug,5
1983,Sep,1
1983,Oct,2
1983,Nov,0
1983,Dec,1
1984,Jan,0
1984,Feb,0
1984,Mar,0
1984,Apr,0
1984,May,0
1984,Jun,1
1984,Jul,3
1984,Aug,1
1984,Sep,8
1984,Oct,4
1984,Nov,2
1984,Dec,0
1985,Jan,0
1985,Feb,2
1985,Mar,1
1985,Apr,0
1985,May,1
1985,Jun,0
1985,Jul,4
1985,Aug,3
1985,Sep,3
1985,Oct,4
1985,Nov,2
1985,Dec,1
1986,Jan,1
1986,Feb,0
1986,Mar,0
1986,Apr,1
1986,May,0
1986,Jun,0
1986,Jul,1
1986,Aug,1
1986,Sep,2
1986,Oct,2
1986,Nov,3
1986,Dec,2
1987,Jan,0
1987,Feb,1
1987,Mar,0
1987,Apr,2
1987,May,2
1987,Jun,1
1987,Jul,4
1987,Aug,2
1987,Sep,0
1987,Oct,1
1987,Nov,1
1987,Dec,1
1988,Jan,1
1988,Feb,0
1988,Mar,2
1988,Apr,5
1988,May,2
1988,Jun,4
1988,Jul,2
1988,Aug,2
1988,Sep,3
1988,Oct,5
1988,Nov,0
1988,Dec,0
1989,Jan,4
1989,Feb,0
1989,Mar,0
1989,Apr,5
1989,May,0
1989,Jun,2
